n,determinant,correct,additions,multiplications,matrix_additions,matrix_multiplications,matrix_inversions,matrix_lu_factorizations,time
32,0.7790756480920399,true,90338,19267,55595,21564,258,63,0.006021976470947266
33,-1.4049516896121235,true,326656,69689,206850,80386,260,65,0.02640700340270996
34,-44.541870035846216,true,494163,105707,314855,122387,266,67,0.03257012367248535
35,3.4965928414476193,true,517474,110855,330250,128373,272,69,0.039093971252441406
36,-82.59405985401753,true,578622,124237,370309,143949,282,71,0.04401803016662598
37,-90.18595712107353,true,582703,124975,372474,144790,288,73,0.03770112991333008
38,-131.38405224488352,true,590873,126891,378135,146989,298,75,0.042938947677612305
39,-10.161702852547545,true,599025,128807,383796,149188,308,77,0.04262900352478027
40,67.12581179784297,true,612290,131901,392953,152745,322,79,0.043176889419555664
41,160.72421804953802,true,618533,132009,393228,152851,328,81,0.038571834564208984
42,-1109.2376742861782,true,622479,132287,393975,153139,338,83,0.043443918228149414
43,-2473.8099550275238,true,623435,132565,394722,153427,348,85,0.04353904724121094
44,119.6808421111259,true,625404,133013,395941,153897,362,87,0.0437169075012207
45,-7442.512619729883,true,627594,133291,396688,154185,372,89,0.04396486282348633
46,-7003.668898268494,true,629161,133739,397907,154655,386,91,0.03878498077392578
47,-4984.916686976864,true,630706,134187,399126,155125,400,93,0.04406285285949707
48,81944.81902412752,true,632868,134805,400817,155777,418,95,0.043920040130615234
49,186787.1878241924,true,661479,134823,400822,155778,424,97,0.044259071350097656
50,-1.089205386884697e6,true,680295,134867,400867,155793,434,99,0.03898000717163086
51,400689.26218232216,true,682347,134911,400912,155808,444,101,0.043879032135009766
52,-853256.4271705993,true,688228,134981,400997,155837,458,103,0.04387211799621582
53,-641439.7065184253,true,689838,135025,401042,155852,468,105,0.04384493827819824
54,5.173963455365492e6,true,690329,135095,401127,155881,482,107,0.039121150970458984
55,-1.7706801717267826e7,true,690794,135165,401212,155910,496,109,0.05816817283630371
56,-1.2589755448443715e7,true,691596,135261,401337,155953,514,111,0.10411500930786133
57,-3.729310399807519e7,true,699794,135305,401382,155968,524,113,0.047530174255371094
58,-3.2757229894510517e6,true,704087,135375,401467,155997,538,115,0.0443270206451416
59,1.480407069292243e8,true,704302,135445,401552,156026,552,117,0.03906893730163574
60,-9.924493631957457e8,true,705146,135541,401677,156069,570,119,0.04405808448791504
61,-2.0441221205921717e9,true,707023,135611,401762,156098,584,121,0.04399704933166504
62,-8.735475949041212e7,true,707317,135707,401887,156141,602,123,0.043992042541503906
63,1.1268883352387604e10,true,707581,135803,402012,156184,620,125,0.044280052185058594
