n,correct,additions,multiplications,matrix_additions,matrix_multiplications,matrix_inversions,matrix_lu_factorizations,time
157,true,45853444,9468983,28315757,11010962,2021,312,3.0239388942718506
158,false,45872176,9473647,28328410,11015876,2039,314,3.0102598667144775
159,true,45893525,9478745,28342811,11021469,2059,316,3.0200119018554688
160,true,45917408,9484592,28358960,11027741,2081,318,3.0206711292266846
161,false,46519192,9485025,28359471,11027937,2089,320,3.0233330726623535
162,false,46746254,9485705,28360218,11028224,2099,322,3.0115339756011963
163,true,46802257,9486311,28361201,11028602,2111,324,3.0141429901123047
164,false,46883406,9487166,28362420,11029071,2125,326,3.016417980194092
165,true,46898477,9487775,28363403,11029449,2137,328,3.008007049560547
166,true,46909318,9488635,28364622,11029918,2151,330,3.0112600326538086
167,true,46923484,9489417,28366077,11030478,2167,332,3.0090079307556152
168,true,46940888,9490452,28367768,11031129,2185,334,3.0080668926239014
169,true,46984461,9491067,28368751,11031507,2197,336,3.011568784713745
170,true,46998424,9491937,28369970,11031976,2211,338,3.0167698860168457
171,true,47002124,9492725,28371425,11032536,2227,340,3.01117205619812
172,true,47007082,9493770,28373116,11033187,2245,342,3.0047740936279297
173,true,47017800,9494561,28374571,11033747,2261,344,3.0041229724884033
174,true,47021172,9495611,28376262,11034398,2279,346,3.166303873062134
175,true,47025117,9496575,28378189,11035140,2299,348,3.155282974243164
176,true,47029544,9497800,28380352,11035973,2321,350,3.0186469554901123
177,true,47206113,9498427,28381335,11036351,2333,352,3.0119001865386963
178,true,47269912,9499317,28382554,11036820,2347,354,3.0458741188049316
179,true,47284662,9500117,28384009,11037380,2363,356,3.0221400260925293
180,true,47305890,9501182,28385700,11038031,2381,358,3.0212039947509766
181,true,47316802,9501985,28387155,11038591,2397,360,3.0140252113342285
182,true,47320224,9503055,28388846,11039242,2415,362,3.0285561084747314
183,false,47324439,9504031,28390773,11039984,2435,364,3.020857095718384
184,true,47329352,9505276,28392936,11040817,2457,366,3.010483980178833
185,false,47377242,9506085,28394391,11041377,2473,368,3.0163259506225586
186,true,47392514,9507165,28396082,11042028,2491,370,3.0173680782318115
187,false,47396323,9508147,28398009,11042770,2511,372,3.0165669918060303
188,true,47401262,9509402,28400172,11043603,2533,374,3.021634101867676
189,false,47412733,9510387,28402099,11044345,2553,376,3.0186080932617188
190,false,47415938,9511647,28404262,11045178,2575,378,3.290560007095337
191,false,47419524,9512805,28406661,11046102,2599,380,3.028841018676758
192,false,47423392,9514240,28409296,11047117,2625,382,3.024451971054077
193,true,50101766,9514559,28409321,11047124,2633,384,3.0085980892181396
194,false,51125690,9515085,28409366,11047138,2643,386,2.9958109855651855
195,true,51384733,9515433,28409431,11047159,2655,388,2.992504119873047
196,true,51759534,9515990,28409516,11047187,2669,390,2.998466968536377
197,true,51803487,9516341,28409581,11047208,2681,392,2.997156858444214
198,true,51854262,9516903,28409666,11047236,2695,394,2.9898312091827393
199,true,51920870,9517283,28409771,11047271,2711,396,2.995682954788208
200,true,52003208,9517876,28409896,11047313,2729,398,2.9846529960632324
201,true,52057137,9518233,28409961,11047334,2741,400,2.9863228797912598
202,true,52077244,9518805,28410046,11047362,2755,402,2.987576961517334
203,false,52086492,9519191,28410151,11047397,2771,404,3.169858932495117
204,false,52098546,9519794,28410276,11047439,2789,406,3.1337790489196777
205,true,52116100,9520183,28410381,11047474,2805,408,2.997736930847168
206,true,52126272,9520791,28410506,11047516,2823,410,2.996340036392212
