n,correct,additions,multiplications,matrix_additions,matrix_multiplications,matrix_inversions,matrix_lu_factorizations,time
146,true,31999375,6614065,19827507,7710087,1714,291,2.2007179260253906
147,true,32012933,6615980,19833168,7712285,1724,293,2.130108118057251
148,false,32041940,6619073,19842325,7715841,1738,295,2.1344518661499023
149,true,32054384,6620988,19847986,7718039,1748,297,2.132582902908325
150,false,32068689,6624081,19857143,7721595,1762,299,2.127614974975586
151,true,32082920,6627174,19866300,7725151,1776,301,2.1334049701690674
152,true,32103060,6631445,19878953,7730065,1794,303,2.1317429542541504
153,true,32132448,6633360,19884614,7732263,1804,305,2.1366708278656006
154,true,32156591,6636453,19893771,7735819,1818,307,2.1335370540618896
155,false,32170128,6639546,19902928,7739375,1832,309,2.1332108974456787
156,true,32190298,6643817,19915581,7744289,1850,311,2.134690999984741
157,true,32208065,6646910,19924738,7747845,1864,313,2.1351730823516846
158,true,32226797,6651181,19937391,7752759,1882,315,2.139693021774292
159,true,32245451,6655452,19950044,7757673,1900,317,2.1359059810638428
160,true,32269334,6660901,19966193,7763945,1922,319,2.1374809741973877
161,true,32594257,6661008,19966468,7764050,1928,321,2.132934093475342
162,true,32821319,6661285,19967215,7764337,1938,323,2.137002944946289
163,true,32852011,6661562,19967962,7764624,1948,325,2.14040207862854
164,true,32933160,6662009,19969181,7765093,1962,327,2.136953115463257
165,true,32941836,6662286,19969928,7765380,1972,329,2.1320910453796387
166,true,32952677,6662733,19971147,7765849,1986,331,2.1329751014709473
167,false,32963436,6663180,19972366,7766318,2000,333,2.129563093185425
168,true,32980840,6663797,19974057,7766969,2018,335,2.135331153869629
169,false,33005216,6664074,19974804,7767256,2028,337,2.128976821899414
170,false,33019179,6664521,19976023,7767725,2042,339,2.135417938232422
171,true,33021448,6664968,19977242,7768194,2056,341,2.340435028076172
172,true,33026406,6665585,19978933,7768845,2074,343,2.245990037918091
173,false,33033333,6666032,19980152,7769314,2088,345,2.239434003829956
174,true,33036705,6666649,19981843,7769965,2106,347,2.2414350509643555
175,true,33039991,6667266,19983534,7770616,2124,349,2.2424840927124023
176,true,33044418,6668053,19985697,7771449,2146,351,2.2396199703216553
